,TARIH,MAL_TURU,MAL_ADI,BIRIM,ASGARI_UCRET,AZAMI_UCRET,ORTALAMA_UCRET
0,2024-01-02T00:00:00,SEBZE,YAPRAK  SALAMURA,kg,10.0,50.0,30.0
1,2024-01-02T00:00:00,SEBZE,SARIMSAK  KURU,kg,15.0,120.0,67.5
2,2024-01-02T00:00:00,MEYVE,AYVA,kg,8.0,30.0,19.0
3,2024-01-02T00:00:00,MEYVE,ARMUT  S.MARIA,kg,10.0,40.0,25.0
4,2024-01-02T00:00:00,MEYVE,CILEK,kg,50.0,100.0,75.0
5,2024-01-02T00:00:00,MEYVE,ELMA  AMASYA,kg,10.0,32.0,21.0
6,2024-01-02T00:00:00,MEYVE,ELMA  STARKING,kg,15.0,30.0,22.5
7,2024-01-02T00:00:00,MEYVE,GREYFURT,kg,5.0,15.0,10.0
8,2024-01-02T00:00:00,SEBZE,KAVUN DİĞER,kg,5.0,30.0,17.5
9,2024-01-02T00:00:00,SEBZE,KARPUZ,kg,3.0,27.0,15.0
10,2024-01-02T00:00:00,MEYVE,NAR,kg,10.0,35.0,22.5
11,2024-01-02T00:00:00,MEYVE,KESTANE,kg,90.0,165.0,127.5
12,2024-01-02T00:00:00,MEYVE,MANDALİNA,kg,5.0,26.0,15.5
13,2024-01-02T00:00:00,MEYVE,MUZ  YERLI,kg,10.0,55.0,32.5
14,2024-01-02T00:00:00,MEYVE,PORTAKAL  ,kg,10.0,23.0,16.5
15,2024-01-02T00:00:00,MEYVE,PORTAKAL  VALENCIA,kg,8.0,20.0,14.0
16,2024-01-02T00:00:00,İTHAL,KIVI  İTHAL,kg,20.0,75.0,47.5
17,2024-01-02T00:00:00,MEYVE,LİMON DİĞER ,kg,8.0,14.0,11.0
18,2024-01-02T00:00:00,SEBZE,Y.MAYDONOZ,bağ,1.25,7.0,4.13
19,2024-01-02T00:00:00,SEBZE,Y.DEREOTU,bağ,1.25,8.0,4.63
20,2024-01-02T00:00:00,SEBZE,Y.ROKA,bağ,1.25,7.0,4.13
21,2024-01-02T00:00:00,SEBZE,Y.TERE,bağ,1.0,7.0,4.0
22,2024-01-02T00:00:00,SEBZE,Y.NANE,bağ,1.25,7.0,4.13
23,2024-01-02T00:00:00,MEYVE,ERİK  ANJELIKA,kg,10.0,50.0,30.0
24,2024-01-02T00:00:00,MEYVE,ÜZÜM  SULTANİYE,kg,10.0,50.0,30.0
25,2024-01-02T00:00:00,MEYVE,ELMA GSMIT(İYİ TARIM),kg,10.0,45.0,27.5
26,2024-01-02T00:00:00,MEYVE,ELMA  GOLDEN,kg,6.0,27.0,16.5
27,2024-01-02T00:00:00,SEBZE,KAVUN  SERA,kg,10.0,27.0,18.5
28,2024-01-02T00:00:00,İTHAL,AVAKADO,adet,10.0,30.0,20.0
29,2024-01-02T00:00:00,İTHAL,ANANAS,adet,20.0,67.0,43.5
