Metric,ProductName,Unit,Year,District,Value
Ekilen Alan,Biber (Sivri),Dekar,2014,İzmir(Bayındır),2300
Üretim Miktarı,Biber (Sivri),Ton,2014,İzmir(Bayındır),7360
Ekilen Alan,Biber (Sivri),Dekar,2014,İzmir(Bergama),1500
Üretim Miktarı,Biber (Sivri),Ton,2014,İzmir(Bergama),1500
Ekilen Alan,Biber (Sivri),Dekar,2014,İzmir(Menderes),1020
Üretim Miktarı,Biber (Sivri),Ton,2014,İzmir(Menderes),1900
Ekilen Alan,Biber (Sivri),Dekar,2014,İzmir(Tire),1400
Üretim Miktarı,Biber (Sivri),Ton,2014,İzmir(Tire),2100
Ekilen Alan,Biber (Sivri),Dekar,2014,İzmir(Torbalı),1967
Üretim Miktarı,Biber (Sivri),Ton,2014,İzmir(Torbalı),4926
Ekilen Alan,Biber (Sivri),Dekar,2014,İzmir(Ödemiş),1500
Üretim Miktarı,Biber (Sivri),Ton,2014,İzmir(Ödemiş),4500
Ekilen Alan,Biber (Sivri),Dekar,2015,İzmir(Bayındır),1800
Üretim Miktarı,Biber (Sivri),Ton,2015,İzmir(Bayındır),5760
Ekilen Alan,Biber (Sivri),Dekar,2015,İzmir(Bergama),1500
Üretim Miktarı,Biber (Sivri),Ton,2015,İzmir(Bergama),1500
Ekilen Alan,Biber (Sivri),Dekar,2015,İzmir(Menderes),2014
Üretim Miktarı,Biber (Sivri),Ton,2015,İzmir(Menderes),4474
Ekilen Alan,Biber (Sivri),Dekar,2015,İzmir(Tire),1350
Üretim Miktarı,Biber (Sivri),Ton,2015,İzmir(Tire),2025
Ekilen Alan,Biber (Sivri),Dekar,2015,İzmir(Torbalı),1667
Üretim Miktarı,Biber (Sivri),Ton,2015,İzmir(Torbalı),5495
Ekilen Alan,Biber (Sivri),Dekar,2015,İzmir(Ödemiş),1500
Üretim Miktarı,Biber (Sivri),Ton,2015,İzmir(Ödemiş),4500
Ekilen Alan,Biber (Sivri),Dekar,2016,İzmir(Bayındır),1800
Üretim Miktarı,Biber (Sivri),Ton,2016,İzmir(Bayındır),5749
Ekilen Alan,Biber (Sivri),Dekar,2016,İzmir(Bergama),1500
Üretim Miktarı,Biber (Sivri),Ton,2016,İzmir(Bergama),1497
Ekilen Alan,Biber (Sivri),Dekar,2016,İzmir(Menderes),2064
Üretim Miktarı,Biber (Sivri),Ton,2016,İzmir(Menderes),4600
Ekilen Alan,Biber (Sivri),Dekar,2016,İzmir(Tire),1350
Üretim Miktarı,Biber (Sivri),Ton,2016,İzmir(Tire),2021
Ekilen Alan,Biber (Sivri),Dekar,2016,İzmir(Torbalı),1570
Üretim Miktarı,Biber (Sivri),Ton,2016,İzmir(Torbalı),5164
Ekilen Alan,Biber (Sivri),Dekar,2016,İzmir(Ödemiş),1500
Üretim Miktarı,Biber (Sivri),Ton,2016,İzmir(Ödemiş),4491
Ekilen Alan,Biber (Sivri),Dekar,2017,İzmir(Bayındır),800
Üretim Miktarı,Biber (Sivri),Ton,2017,İzmir(Bayındır),2560
Ekilen Alan,Biber (Sivri),Dekar,2017,İzmir(Bergama),1500
Üretim Miktarı,Biber (Sivri),Ton,2017,İzmir(Bergama),1500
Ekilen Alan,Biber (Sivri),Dekar,2017,İzmir(Menderes),2320
Üretim Miktarı,Biber (Sivri),Ton,2017,İzmir(Menderes),5011
Ekilen Alan,Biber (Sivri),Dekar,2017,İzmir(Tire),1200
Üretim Miktarı,Biber (Sivri),Ton,2017,İzmir(Tire),1800
Ekilen Alan,Biber (Sivri),Dekar,2017,İzmir(Torbalı),1560
Üretim Miktarı,Biber (Sivri),Ton,2017,İzmir(Torbalı),5065
Ekilen Alan,Biber (Sivri),Dekar,2017,İzmir(Ödemiş),1500
Üretim Miktarı,Biber (Sivri),Ton,2017,İzmir(Ödemiş),4499
Ekilen Alan,Biber (Sivri),Dekar,2018,İzmir(Bayındır),800
Üretim Miktarı,Biber (Sivri),Ton,2018,İzmir(Bayındır),2560
Ekilen Alan,Biber (Sivri),Dekar,2018,İzmir(Bergama),1500
Üretim Miktarı,Biber (Sivri),Ton,2018,İzmir(Bergama),1500
Ekilen Alan,Biber (Sivri),Dekar,2018,İzmir(Menderes),2320
Üretim Miktarı,Biber (Sivri),Ton,2018,İzmir(Menderes),5006
Ekilen Alan,Biber (Sivri),Dekar,2018,İzmir(Tire),1000
Üretim Miktarı,Biber (Sivri),Ton,2018,İzmir(Tire),1500
Ekilen Alan,Biber (Sivri),Dekar,2018,İzmir(Torbalı),1703
Üretim Miktarı,Biber (Sivri),Ton,2018,İzmir(Torbalı),5529
Ekilen Alan,Biber (Sivri),Dekar,2018,İzmir(Ödemiş),1750
Üretim Miktarı,Biber (Sivri),Ton,2018,İzmir(Ödemiş),5248
Ekilen Alan,Biber (Sivri),Dekar,2019,İzmir(Bayındır),800
Üretim Miktarı,Biber (Sivri),Ton,2019,İzmir(Bayındır),2560
Ekilen Alan,Biber (Sivri),Dekar,2019,İzmir(Bergama),1500
Üretim Miktarı,Biber (Sivri),Ton,2019,İzmir(Bergama),1500
Ekilen Alan,Biber (Sivri),Dekar,2019,İzmir(Menderes),2170
Üretim Miktarı,Biber (Sivri),Ton,2019,İzmir(Menderes),4616
Ekilen Alan,Biber (Sivri),Dekar,2019,İzmir(Tire),1000
Üretim Miktarı,Biber (Sivri),Ton,2019,İzmir(Tire),1500
Ekilen Alan,Biber (Sivri),Dekar,2019,İzmir(Torbalı),1795
Üretim Miktarı,Biber (Sivri),Ton,2019,İzmir(Torbalı),6095
Ekilen Alan,Biber (Sivri),Dekar,2019,İzmir(Ödemiş),2000
Üretim Miktarı,Biber (Sivri),Ton,2019,İzmir(Ödemiş),6000
Ekilen Alan,Biber (Sivri),Dekar,2020,İzmir(Bayındır),2300
Üretim Miktarı,Biber (Sivri),Ton,2020,İzmir(Bayındır),9200
Ekilen Alan,Biber (Sivri),Dekar,2020,İzmir(Bergama),1500
Üretim Miktarı,Biber (Sivri),Ton,2020,İzmir(Bergama),1500
Ekilen Alan,Biber (Sivri),Dekar,2020,İzmir(Menderes),2170
Üretim Miktarı,Biber (Sivri),Ton,2020,İzmir(Menderes),5764
Ekilen Alan,Biber (Sivri),Dekar,2020,İzmir(Tire),315
Üretim Miktarı,Biber (Sivri),Ton,2020,İzmir(Tire),473
Ekilen Alan,Biber (Sivri),Dekar,2020,İzmir(Torbalı),1660
Üretim Miktarı,Biber (Sivri),Ton,2020,İzmir(Torbalı),5558
Ekilen Alan,Biber (Sivri),Dekar,2020,İzmir(Ödemiş),1500
Üretim Miktarı,Biber (Sivri),Ton,2020,İzmir(Ödemiş),6000
Ekilen Alan,Biber (Sivri),Dekar,2021,İzmir(Bayındır),1900
Üretim Miktarı,Biber (Sivri),Ton,2021,İzmir(Bayındır),7600
Ekilen Alan,Biber (Sivri),Dekar,2021,İzmir(Bergama),108
Üretim Miktarı,Biber (Sivri),Ton,2021,İzmir(Bergama),108
Ekilen Alan,Biber (Sivri),Dekar,2021,İzmir(Menderes),2170
Üretim Miktarı,Biber (Sivri),Ton,2021,İzmir(Menderes),5764
Ekilen Alan,Biber (Sivri),Dekar,2021,İzmir(Tire),379
Üretim Miktarı,Biber (Sivri),Ton,2021,İzmir(Tire),569
Ekilen Alan,Biber (Sivri),Dekar,2021,İzmir(Torbalı),1758
Üretim Miktarı,Biber (Sivri),Ton,2021,İzmir(Torbalı),5712
Ekilen Alan,Biber (Sivri),Dekar,2021,İzmir(Ödemiş),500
Üretim Miktarı,Biber (Sivri),Ton,2021,İzmir(Ödemiş),2000
Ekilen Alan,Biber (Sivri),Dekar,2022,İzmir(Bayındır),1515
Üretim Miktarı,Biber (Sivri),Ton,2022,İzmir(Bayındır),6060
Ekilen Alan,Biber (Sivri),Dekar,2022,İzmir(Bergama),127
Üretim Miktarı,Biber (Sivri),Ton,2022,İzmir(Bergama),127
Ekilen Alan,Biber (Sivri),Dekar,2022,İzmir(Menderes),2170
Üretim Miktarı,Biber (Sivri),Ton,2022,İzmir(Menderes),5764
Ekilen Alan,Biber (Sivri),Dekar,2022,İzmir(Tire),
Üretim Miktarı,Biber (Sivri),Ton,2022,İzmir(Tire),
Ekilen Alan,Biber (Sivri),Dekar,2022,İzmir(Torbalı),1781
Üretim Miktarı,Biber (Sivri),Ton,2022,İzmir(Torbalı),6234
Ekilen Alan,Biber (Sivri),Dekar,2022,İzmir(Ödemiş),500
Üretim Miktarı,Biber (Sivri),Ton,2022,İzmir(Ödemiş),2000
Ekilen Alan,Biber (Sivri),Dekar,2023,İzmir(Bayındır),1450
Üretim Miktarı,Biber (Sivri),Ton,2023,İzmir(Bayındır),4640
Ekilen Alan,Biber (Sivri),Dekar,2023,İzmir(Bergama),194
Üretim Miktarı,Biber (Sivri),Ton,2023,İzmir(Bergama),194
Ekilen Alan,Biber (Sivri),Dekar,2023,İzmir(Menderes),1929
Üretim Miktarı,Biber (Sivri),Ton,2023,İzmir(Menderes),5342
Ekilen Alan,Biber (Sivri),Dekar,2023,İzmir(Tire),
Üretim Miktarı,Biber (Sivri),Ton,2023,İzmir(Tire),
Ekilen Alan,Biber (Sivri),Dekar,2023,İzmir(Torbalı),1460
Üretim Miktarı,Biber (Sivri),Ton,2023,İzmir(Torbalı),4380
Ekilen Alan,Biber (Sivri),Dekar,2023,İzmir(Ödemiş),1500
Üretim Miktarı,Biber (Sivri),Ton,2023,İzmir(Ödemiş),6000
Ekilen Alan,Biber (Sivri),Dekar,2024,İzmir(Bayındır),1400
