,TARIH,MAL_TURU,MAL_ADI,BIRIM,ASGARI_UCRET,AZAMI_UCRET,ORTALAMA_UCRET
0,01/02/2024,SEBZE,YAPRAK  SALAMURA,kg,10.0,50.0,30.0
1,01/02/2024,SEBZE,SARIMSAK  KURU,kg,15.0,120.0,67.5
2,01/02/2024,MEYVE,AYVA,kg,8.0,30.0,19.0
3,01/02/2024,MEYVE,ARMUT  S.MARIA,kg,10.0,40.0,25.0
4,01/02/2024,MEYVE,CILEK,kg,50.0,100.0,75.0
5,01/02/2024,MEYVE,ELMA  AMASYA,kg,10.0,32.0,21.0
6,01/02/2024,MEYVE,ELMA  STARKING,kg,15.0,30.0,22.5
7,01/02/2024,MEYVE,GREYFURT,kg,5.0,15.0,10.0
8,01/02/2024,SEBZE,KAVUN DİĞER,kg,5.0,30.0,17.5
9,01/02/2024,SEBZE,KARPUZ,kg,3.0,27.0,15.0
10,01/02/2024,MEYVE,NAR,kg,10.0,35.0,22.5
11,01/02/2024,MEYVE,KESTANE,kg,90.0,165.0,127.5
12,01/02/2024,MEYVE,MANDALİNA,kg,5.0,26.0,15.5
13,01/02/2024,MEYVE,MUZ  YERLI,kg,10.0,55.0,32.5
14,01/02/2024,MEYVE,PORTAKAL  ,kg,10.0,23.0,16.5
15,01/02/2024,MEYVE,PORTAKAL  VALENCIA,kg,8.0,20.0,14.0
16,01/02/2024,İTHAL,KIVI  İTHAL,kg,20.0,75.0,47.5
17,01/02/2024,MEYVE,LİMON DİĞER ,kg,8.0,14.0,11.0
18,01/02/2024,SEBZE,Y.MAYDONOZ,bağ,1.25,7.0,4.13
19,01/02/2024,SEBZE,Y.DEREOTU,bağ,1.25,8.0,4.63
20,01/02/2024,SEBZE,Y.ROKA,bağ,1.25,7.0,4.13
21,01/02/2024,SEBZE,Y.TERE,bağ,1.0,7.0,4.0
22,01/02/2024,SEBZE,Y.NANE,bağ,1.25,7.0,4.13
23,01/02/2024,MEYVE,ERİK  ANJELIKA,kg,10.0,50.0,30.0
24,01/02/2024,MEYVE,ÜZÜM  SULTANİYE,kg,10.0,50.0,30.0
25,01/02/2024,MEYVE,ELMA GSMIT(İYİ TARIM),kg,10.0,45.0,27.5
26,01/02/2024,MEYVE,ELMA  GOLDEN,kg,6.0,27.0,16.5
27,01/02/2024,SEBZE,KAVUN  SERA,kg,10.0,27.0,18.5
28,01/02/2024,İTHAL,AVAKADO,adet,10.0,30.0,20.0
29,01/02/2024,İTHAL,ANANAS,adet,20.0,67.0,43.5
30,01/02/2024,İTHAL,MUZ  ITHAL,kg,20.0,70.0,45.0
31,01/02/2024,İTHAL,HINDISTAN CEVIZI,adet,10.0,45.0,27.5
32,01/02/2024,MEYVE,PORTAKAL   FINIKE,kg,10.0,17.0,13.5
33,01/02/2024,SEBZE,BROKOLI,kg,5.0,40.0,22.5
34,01/02/2024,MEYVE,CENNET ELMASI,kg,10.0,60.0,35.0
35,01/02/2024,MEYVE,PORTAKAL  SIKMALIK,kg,8.0,12.0,10.0
36,01/02/2024,MEYVE,MUŞMULA,kg,7.0,35.0,21.0
37,01/02/2024,SEBZE,Y.REYHAN,adet,4.0,25.0,14.5
38,01/02/2024,SEBZE,BAKLA,kg,7.0,40.0,23.5
39,01/02/2024,SEBZE,BORULCE,kg,25.0,60.0,42.5
40,01/02/2024,SEBZE,BİBER  SİVRİ,kg,10.0,50.0,30.0
41,01/02/2024,SEBZE,BİBER  DOLMA,kg,8.0,40.0,24.0
42,01/02/2024,SEBZE,FASULYE   AYSE,kg,10.0,70.0,40.0
43,01/02/2024,SEBZE,FASULYE   CALI,kg,10.0,55.0,32.5
44,01/02/2024,SEBZE,BARBUNYA TAZE,kg,20.0,50.0,35.0
45,01/02/2024,SEBZE,HAVUÇ,kg,5.0,14.0,9.5
46,01/02/2024,SEBZE,PATATES  CALMA,kg,5.0,20.0,12.5
47,01/02/2024,SEBZE,BİBER ÇARLİSTON,kg,10.0,30.0,20.0
48,01/02/2024,SEBZE,MARUL AYSBERG,adet,5.0,28.0,16.5
49,01/02/2024,SEBZE,MANTAR,kg,15.0,40.0,27.5
50,01/02/2024,SEBZE,SOĞAN   KIRMIZI,kg,10.0,35.0,22.5
51,01/02/2024,SEBZE,BİBER KIRMIZI,kg,13.0,44.0,28.5
52,01/02/2024,SEBZE,LAHANA  BEYAZ,kg,5.0,22.0,13.5
53,01/02/2024,SEBZE,PIRASA,kg,4.0,15.0,9.5
54,01/02/2024,SEBZE,PAZI,adet,4.0,18.0,11.0
55,01/02/2024,SEBZE,BİBER  KIL ACI,kg,10.0,50.0,30.0
56,01/02/2024,SEBZE,LAHANA  BURUKSEL,kg,10.0,40.0,25.0
57,01/02/2024,SEBZE,DOMATES (DİĞER),kg,7.0,40.0,23.5
58,01/02/2024,SEBZE,SALATALIK ,kg,8.0,35.0,21.5
59,01/02/2024,SEBZE,DOMATES  SALKIM,kg,12.0,40.0,26.0
60,01/02/2024,SEBZE,TURP  SIYAH,kg,3.0,12.0,7.5
61,01/02/2024,SEBZE,MARUL KIVIRCIK,adet,5.0,30.0,17.5
62,01/02/2024,SEBZE,YERELMASI,kg,5.0,18.0,11.5
63,01/02/2024,SEBZE,DENIZ BÖRÜLCESİ,adet,4.0,30.0,17.0
64,01/02/2024,İTHAL,MANGO,adet,10.0,50.0,30.0
65,01/02/2024,MEYVE,ARMUT  DEVECI,kg,10.0,40.0,25.0
66,01/02/2024,SEBZE,MARUL LOLOROSSO,adet,5.0,30.0,17.5
67,01/02/2024,SEBZE,BİBER CİN,kg,4.0,50.0,27.0
68,01/02/2024,SEBZE,DOMATES CHERRY,kg,8.0,40.0,24.0
69,01/02/2024,SEBZE,TURP  FINDIK,adet,5.0,12.0,8.5
70,01/02/2024,SEBZE,DOMATES  BEEF,kg,10.0,35.0,22.5
71,01/02/2024,MEYVE,KIVI  ,kg,10.0,50.0,30.0
72,01/02/2024,İTHAL,ZENCEFİL,kg,60.0,200.0,130.0
73,01/02/2024,İTHAL,BİBER KALİFORNİYA,kg,30.0,65.0,47.5
74,01/02/2024,MEYVE,ÜZÜM  RED GLOBE,kg,10.0,60.0,35.0
75,01/02/2024,MEYVE,ELMA GSMİT,kg,10.0,42.0,26.0
76,01/02/2024,İTHAL,ELMA STARKING(İTHAL),kg,10.0,50.0,30.0
77,01/02/2024,SEBZE,SALATALIK  SİLOR,kg,8.0,40.0,24.0
78,01/02/2024,MEYVE,HÜNNAP,kg,11.0,40.0,25.5
79,01/02/2024,MEYVE,ELMA  ARJANTİN,kg,10.0,32.0,21.0
80,01/02/2024,İTHAL,SARIMSAK  İTHAL,kg,20.0,140.0,80.0
81,01/02/2024,MEYVE,PORTAKAL WASHINGTON,kg,7.0,18.0,12.5
82,01/02/2024,MEYVE,ÜZÜM  BEYAZ,kg,10.0,70.0,40.0
83,01/02/2024,SEBZE,BİBER  MEKSİKA,kg,8.0,35.0,21.5
84,01/02/2024,MEYVE,ÜZÜM  SİYAH,kg,23.0,65.0,44.0
85,01/02/2024,SEBZE,ALABAŞ,kg,4.0,15.0,9.5
86,01/02/2024,MEYVE,MANDALİNA SATSUMA,kg,5.0,15.0,10.0
87,01/02/2024,SEBZE,DOMATES SALKIM  (İYİ TARIM),kg,10.0,38.0,24.0
88,01/02/2024,SEBZE,DOMATES PEMBE,kg,10.0,40.0,25.0
89,01/02/2024,SEBZE,HAVUÇ(TAKOZ),kg,5.0,26.0,15.5
90,01/02/2024,MEYVE,LİMON LAMAS,kg,6.0,17.0,11.5
91,01/02/2024,SEBZE,PATATES TAZE,kg,5.0,20.0,12.5
92,01/02/2024,SEBZE,MANTAR (İSTİRİDYE),kg,30.0,100.0,65.0
93,01/02/2024,SEBZE,BİBER KÖY(MAZO),kg,10.0,50.0,30.0
94,01/02/2024,SEBZE,LAHANA KARA,kg,10.0,15.0,12.5
95,01/02/2024,MEYVE,ELMA FUJİ,kg,9.0,33.0,21.0
96,01/02/2024,SEBZE,ISPANAK,kg,5.0,35.0,20.0
97,01/02/2024,SEBZE,KABAK TAZE,kg,10.0,45.0,27.5
98,01/02/2024,SEBZE,KABAK  BAL,kg,5.0,18.0,11.5
99,01/02/2024,SEBZE,KEREVIZ,kg,10.0,20.0,15.0
100,01/02/2024,SEBZE,MARUL,adet,5.0,20.0,12.5
101,01/02/2024,SEBZE,PATLICAN  UZUN,kg,8.0,35.0,21.5
102,01/02/2024,SEBZE,PATLICAN TOPAN,kg,8.0,40.0,24.0
103,01/02/2024,SEBZE,PANCAR,kg,5.0,20.0,12.5
104,01/02/2024,SEBZE,SOĞAN   TAZE,kg,10.0,50.0,30.0
105,01/02/2024,SEBZE,SOĞAN   KURU,kg,4.0,15.0,9.5
106,01/02/2024,SEBZE,LAHANA  KIRMIZI,kg,8.0,10.0,9.0
107,01/02/2024,SEBZE,KARNABAHAR,kg,5.0,30.0,17.5
108,01/02/2024,SEBZE,TURP  KIRMIZI,kg,4.0,30.0,17.0
109,01/02/2024,SEBZE,SEMIZ OTU,adet,8.0,13.0,10.5
110,01/03/2024,MEYVE,NAR,kg,10.0,38.0,24.0
111,01/03/2024,MEYVE,KESTANE,kg,90.0,190.0,140.0
112,01/03/2024,MEYVE,MANDALİNA,kg,5.0,26.0,15.5
113,01/03/2024,MEYVE,MUZ  YERLI,kg,10.0,55.0,32.5
114,01/03/2024,MEYVE,PORTAKAL  ,kg,10.0,23.0,16.5
