BULTEN_TARIHI,MAL_TIPI,MAL_ADI,BIRIM,ASGARI_FIYAT,AZAMI_UCRET,ORTALAMA_UCRET
01/01/2025,SEBZE,BİBER  KIL ACI,KG,40,105.0,72.5
01/01/2025,SEBZE,BİBER ÇARLİSTON,KG,30,80.0,55.0
01/01/2025,SEBZE,BİBER KÖY(MAZO),KG,25,90.0,57.5
01/01/2025,SEBZE,BROKOLI,KG,25,40.0,32.5
01/01/2025,SEBZE,DOMATES  BEEF,KG,15,45.0,30.0
01/01/2025,SEBZE,DOMATES CHERRY,KG,30,70.0,50.0
01/01/2025,SEBZE,DOMATES (KOKTEYL),KG,35,75.0,55.0
01/01/2025,SEBZE,DOMATES SALKIM  (İYİ TARIM),KG,30,85.0,57.5
01/01/2025,SEBZE,FASULYE   CALI,KG,45,90.0,67.5
01/01/2025,SEBZE,HAVUÇ BEYPAZARI,KG,8,25.0,16.5
01/01/2025,SEBZE,KABAK  BAL,KG,15,30.0,22.5
01/01/2025,SEBZE,KARNABAHAR,KG,25,55.0,40.0
01/01/2025,SEBZE,KAVUN  SERA,KG,20,35.0,27.5
01/01/2025,SEBZE,KAVUN KIRKAĞAÇ,KG,15,30.0,22.5
01/01/2025,SEBZE,LAHANA  BEYAZ,KG,10,30.0,20.0
01/01/2025,SEBZE,LAHANA  KIRMIZI,KG,25,60.0,42.5
01/01/2025,SEBZE,MANTAR (İSTİRİDYE),KG,65,170.0,117.5
01/01/2025,SEBZE,MARUL AYSBERG,ADET,12,45.0,28.5
01/01/2025,SEBZE,MARUL LOLOROSSO,ADET,10,40.0,25.0
01/01/2025,SEBZE,PATATES  CALMA,KG,10,25.0,17.5
01/01/2025,SEBZE,PATATES TAZE,KG,10,35.0,22.5
01/01/2025,SEBZE,PATLICAN TOPAN,KG,35,80.0,57.5
01/01/2025,SEBZE,PIRASA,KG,10,35.0,22.5
01/01/2025,SEBZE,SALATALIK  SİLOR,KG,25,55.0,40.0
01/01/2025,SEBZE,SARIMSAK  KURU,KG,60,200.0,130.0
01/01/2025,SEBZE,SOĞAN   KIRMIZI,KG,17,50.0,33.5
01/01/2025,SEBZE,SOĞAN   TAZE,KG,35,80.0,57.5
01/01/2025,SEBZE,TURP  KIRMIZI,KG,15,25.0,20.0
01/01/2025,SEBZE,Y.DEREOTU,BAĞ,3,8.0,5.5
