date,product_type,product_name,unit,min_price,max_price,average_price,year,month,season
2014-01-02,SEBZE,PATLICAN UZUN,KG,2.0,4.3,3.15,2014,1,Winter
2014-01-02,SEBZE,SOGAN KURU,KG,0.25,0.6,0.43,2014,1,Winter
2014-01-02,SEBZE,DOMATES SALKIM,KG,1.5,4.0,2.75,2014,1,Winter
2014-01-02,SEBZE,SALATALIK SILOR,KG,1.5,2.5,2.0,2014,1,Winter
2014-01-02,SEBZE,BIBER SIVRI,KG,1.5,4.3,2.9,2014,1,Winter
2014-01-02,SEBZE,KABAK TAZE,KG,1.5,2.7,2.1,2014,1,Winter
2014-01-03,SEBZE,SALATALIK SILOR,KG,1.5,2.5,2.0,2014,1,Winter
2014-01-03,SEBZE,BIBER SIVRI,KG,1.5,4.0,2.75,2014,1,Winter
2014-01-03,SEBZE,KABAK TAZE,KG,1.5,2.5,2.0,2014,1,Winter
2014-01-03,SEBZE,PATLICAN UZUN,KG,2.0,4.3,3.15,2014,1,Winter
2014-01-03,SEBZE,SOGAN KURU,KG,0.25,0.6,0.43,2014,1,Winter
2014-01-03,SEBZE,DOMATES SALKIM,KG,1.5,4.5,3.0,2014,1,Winter
2014-01-06,SEBZE,KABAK TAZE,KG,1.5,2.7,2.1,2014,1,Winter
2014-01-06,SEBZE,PATLICAN UZUN,KG,2.0,4.5,3.25,2014,1,Winter
2014-01-06,SEBZE,SOGAN KURU,KG,0.25,0.65,0.45,2014,1,Winter
2014-01-06,SEBZE,DOMATES SALKIM,KG,1.5,4.5,3.0,2014,1,Winter
2014-01-06,SEBZE,SALATALIK SILOR,KG,1.5,3.0,2.25,2014,1,Winter
2014-01-06,SEBZE,BIBER SIVRI,KG,1.5,4.5,3.0,2014,1,Winter
2014-01-07,SEBZE,BIBER SIVRI,KG,1.5,4.3,2.9,2014,1,Winter
2014-01-07,SEBZE,KABAK TAZE,KG,1.5,2.5,2.0,2014,1,Winter
2014-01-07,SEBZE,PATLICAN UZUN,KG,2.0,4.3,3.15,2014,1,Winter
2014-01-07,SEBZE,SOGAN KURU,KG,0.25,0.65,0.45,2014,1,Winter
2014-01-07,SEBZE,DOMATES SALKIM,KG,1.5,4.0,2.75,2014,1,Winter
2014-01-07,SEBZE,SALATALIK SILOR,KG,1.5,2.7,2.1,2014,1,Winter
2014-01-08,SEBZE,DOMATES SALKIM,KG,1.5,4.0,2.75,2014,1,Winter
2014-01-08,SEBZE,SALATALIK SILOR,KG,1.5,2.6,2.05,2014,1,Winter
2014-01-08,SEBZE,BIBER SIVRI,KG,1.5,4.3,2.9,2014,1,Winter
2014-01-08,SEBZE,KABAK TAZE,KG,1.5,2.5,2.0,2014,1,Winter
2014-01-08,SEBZE,PATLICAN UZUN,KG,2.0,4.3,3.15,2014,1,Winter
2014-01-08,SEBZE,SOGAN KURU,KG,0.25,0.6,0.43,2014,1,Winter
2014-01-09,SEBZE,BIBER SIVRI,KG,1.5,4.0,2.75,2014,1,Winter
2014-01-09,SEBZE,KABAK TAZE,KG,1.5,2.8,2.15,2014,1,Winter
2014-01-09,SEBZE,PATLICAN UZUN,KG,2.0,4.0,3.0,2014,1,Winter
2014-01-09,SEBZE,SOGAN KURU,KG,0.25,0.6,0.43,2014,1,Winter
