year,district,product_name,quota
2026,Bayındır,BIBER SIVRI,1496.02
2026,Bayındır,DOMATES SALKIM,775.2
2026,Bayındır,SALATALIK SILOR,117.28
2026,Bayındır,KABAK TAZE,140.04
2026,Bayındır,KARPUZ,2155.8
2026,Bayındır,PATLICAN,360.44
2026,Bayındır,SOGAN KURU,0.0
2026,Bergama,BIBER SIVRI,705.68
2026,Bergama,DOMATES SALKIM,10453.48
2026,Bergama,SALATALIK SILOR,194.32
2026,Bergama,KABAK TAZE,154.22
2026,Bergama,KARPUZ,204.24
2026,Bergama,PATLICAN,367.3
2026,Bergama,SOGAN KURU,58.94
2026,Menderes,BIBER SIVRI,1035.54
2026,Menderes,DOMATES SALKIM,799.62
2026,Menderes,SALATALIK SILOR,4633.8
2026,Menderes,KABAK TAZE,344.0
2026,Menderes,KARPUZ,1388.84
2026,Menderes,PATLICAN,2016.1
2026,Menderes,SOGAN KURU,0.0
2026,Tire,BIBER SIVRI,999.25
2026,Tire,DOMATES SALKIM,1448.9
2026,Tire,SALATALIK SILOR,1560.66
2026,Tire,KABAK TAZE,301.25
2026,Tire,KARPUZ,1865.34
2026,Tire,PATLICAN,919.12
2026,Tire,SOGAN KURU,0.0
2026,Torbalı,BIBER SIVRI,1865.36
2026,Torbalı,DOMATES SALKIM,5439.78
2026,Torbalı,SALATALIK SILOR,183.36
2026,Torbalı,KABAK TAZE,130.04
2026,Torbalı,KARPUZ,2261.3
2026,Torbalı,PATLICAN,238.88
2026,Torbalı,SOGAN KURU,0.0
2026,Ödemiş,BIBER SIVRI,1080.0
2026,Ödemiş,DOMATES SALKIM,2120.0
2026,Ödemiş,SALATALIK SILOR,1076.0
2026,Ödemiş,KABAK TAZE,51.43
2026,Ödemiş,KARPUZ,2650.0
2026,Ödemiş,PATLICAN,523.0
2026,Ödemiş,SOGAN KURU,38.0
