,product_name,year,district,planted_area,production_amount
0,BIBER SIVRI,2014,İzmir(Bayındır),2300,7360
1,BIBER SIVRI,2014,İzmir(Bergama),1500,1500
2,BIBER SIVRI,2014,İzmir(Menderes),1020,1900
3,BIBER SIVRI,2014,İzmir(Tire),1400,2100
4,BIBER SIVRI,2014,İzmir(Torbalı),1967,4926
5,BIBER SIVRI,2014,İzmir(Ödemiş),1500,4500
6,BIBER SIVRI,2015,İzmir(Bayındır),1800,5760
7,BIBER SIVRI,2015,İzmir(Bergama),1500,1500
8,BIBER SIVRI,2015,İzmir(Menderes),2014,4474
9,BIBER SIVRI,2015,İzmir(Tire),1350,2025
10,BIBER SIVRI,2015,İzmir(Torbalı),1667,5495
11,BIBER SIVRI,2015,İzmir(Ödemiş),1500,4500
12,BIBER SIVRI,2016,İzmir(Bayındır),1800,5749
13,BIBER SIVRI,2016,İzmir(Bergama),1500,1497
14,BIBER SIVRI,2016,İzmir(Menderes),2064,4600
15,BIBER SIVRI,2016,İzmir(Tire),1350,2021
16,BIBER SIVRI,2016,İzmir(Torbalı),1570,5164
17,BIBER SIVRI,2016,İzmir(Ödemiş),1500,4491
18,BIBER SIVRI,2017,İzmir(Bayındır),800,2560
19,BIBER SIVRI,2017,İzmir(Bergama),1500,1500
20,BIBER SIVRI,2017,İzmir(Menderes),2320,5011
21,BIBER SIVRI,2017,İzmir(Tire),1200,1800
22,BIBER SIVRI,2017,İzmir(Torbalı),1560,5065
23,BIBER SIVRI,2017,İzmir(Ödemiş),1500,4499
24,BIBER SIVRI,2018,İzmir(Bayındır),800,2560
25,BIBER SIVRI,2018,İzmir(Bergama),1500,1500
26,BIBER SIVRI,2018,İzmir(Menderes),2320,5006
27,BIBER SIVRI,2018,İzmir(Tire),1000,1500
28,BIBER SIVRI,2018,İzmir(Torbalı),1703,5529
29,BIBER SIVRI,2018,İzmir(Ödemiş),1750,5248
30,BIBER SIVRI,2019,İzmir(Bayındır),800,2560
31,BIBER SIVRI,2019,İzmir(Bergama),1500,1500
32,BIBER SIVRI,2019,İzmir(Menderes),2170,4616
33,BIBER SIVRI,2019,İzmir(Tire),1000,1500
