,province,district,product_name,year,planted_area,production_amount,yield_per_decare_kg
0,İzmir,Bayındır,BAKLA,2013,220.0,114.0,518.1818181818181
4,İzmir,Bergama,BAKLA,2013,1000.0,800.0,800.0
8,İzmir,Menderes,BAKLA,2013,41.0,37.0,902.439024390244
12,İzmir,Tire,BAKLA,2013,650.0,520.0,800.0
16,İzmir,Torbalı,BAKLA,2013,195.0,263.0,1348.7179487179487
20,İzmir,Ödemiş,BAKLA,2013,750.0,1125.0,1500.0
24,İzmir,Bayındır,BAKLA,2014,220.0,114.0,518.1818181818181
36,İzmir,Bergama,BAKLA,2014,1000.0,800.0,800.0
48,İzmir,Menderes,BAKLA,2014,41.0,37.0,902.439024390244
60,İzmir,Tire,BAKLA,2014,600.0,480.0,800.0
72,İzmir,Torbalı,BAKLA,2014,195.0,263.0,1348.7179487179487
84,İzmir,Ödemiş,BAKLA,2014,750.0,1125.0,1500.0
96,İzmir,Bayındır,BAKLA,2015,200.0,104.0,520.0
112,İzmir,Bergama,BAKLA,2015,1000.0,800.0,800.0
128,İzmir,Menderes,BAKLA,2015,46.0,41.0,891.304347826087
144,İzmir,Tire,BAKLA,2015,550.0,440.0,800.0
160,İzmir,Torbalı,BAKLA,2015,160.0,216.0,1350.0
176,İzmir,Ödemiş,BAKLA,2015,750.0,1125.0,1500.0
192,İzmir,Bayındır,BAKLA,2016,100.0,52.0,520.0
208,İzmir,Bergama,BAKLA,2016,1000.0,800.0,800.0
224,İzmir,Menderes,BAKLA,2016,46.0,41.0,891.304347826087
240,İzmir,Tire,BAKLA,2016,550.0,440.0,800.0
256,İzmir,Torbalı,BAKLA,2016,160.0,216.0,1350.0
272,İzmir,Ödemiş,BAKLA,2016,750.0,1125.0,1500.0
288,İzmir,Bayındır,BAKLA,2017,100.0,52.0,520.0
304,İzmir,Bergama,BAKLA,2017,1000.0,800.0,800.0
320,İzmir,Menderes,BAKLA,2017,37.0,22.0,594.5945945945946
336,İzmir,Tire,BAKLA,2017,600.0,480.0,800.0
352,İzmir,Torbalı,BAKLA,2017,200.0,270.0,1350.0
368,İzmir,Ödemiş,BAKLA,2017,750.0,1125.0,1500.0
384,İzmir,Bayındır,BAKLA,2018,100.0,52.0,520.0
396,İzmir,Bergama,BAKLA,2018,1000.0,800.0,800.0
408,İzmir,Menderes,BAKLA,2018,37.0,22.0,594.5945945945946
420,İzmir,Tire,BAKLA,2018,300.0,240.0,800.0
432,İzmir,Torbalı,BAKLA,2018,140.0,189.0,1350.0
444,İzmir,Ödemiş,BAKLA,2018,550.0,825.0,1500.0
456,İzmir,Bayındır,BAKLA,2019,50.0,26.0,520.0
468,İzmir,Bergama,BAKLA,2019,1000.0,800.0,800.0
480,İzmir,Menderes,BAKLA,2019,37.0,22.0,594.5945945945946
492,İzmir,Tire,BAKLA,2019,300.0,240.0,800.0
504,İzmir,Torbalı,BAKLA,2019,210.0,288.0,1371.4285714285713
516,İzmir,Ödemiş,BAKLA,2019,550.0,825.0,1500.0
528,İzmir,Bayındır,BAKLA,2020,50.0,26.0,520.0
536,İzmir,Bergama,BAKLA,2020,1000.0,800.0,800.0
544,İzmir,Menderes,BAKLA,2020,37.0,22.0,594.5945945945946
552,İzmir,Tire,BAKLA,2020,20.0,16.0,800.0
