product_name,year,season,average_price
BAKLA,2014,Winter,2.19
BAKLA,2014,Spring,1.27
BAKLA,2014,Summer,1.01
BAKLA,2015,Winter,2.78
BAKLA,2015,Spring,1.92
BAKLA,2015,Summer,1.0
BAKLA,2015,Fall,3.68
BAKLA,2016,Winter,3.07
BAKLA,2016,Spring,1.54
BAKLA,2016,Summer,1.35
BAKLA,2016,Fall,3.0
BAKLA,2017,Winter,3.39
BAKLA,2017,Spring,2.26
BAKLA,2017,Summer,1.3
BAKLA,2017,Fall,2.81
BAKLA,2018,Winter,3.72
BAKLA,2018,Spring,1.74
BAKLA,2018,Summer,1.38
BAKLA,2019,Winter,5.17
BAKLA,2019,Spring,3.84
BAKLA,2019,Summer,1.35
BAKLA,2020,Winter,6.25
BAKLA,2020,Spring,4.03
BAKLA,2021,Winter,7.13
BAKLA,2021,Spring,4.27
BAKLA,2021,Summer,4.0
BAKLA,2022,Winter,10.45
BAKLA,2022,Spring,10.06
BAKLA,2022,Summer,5.1
BAKLA,2022,Fall,10.8
BAKLA,2023,Winter,18.01
BAKLA,2023,Spring,16.03
BAKLA,2023,Summer,12.82
BAKLA,2024,Winter,33.1
BAKLA,2024,Spring,21.71
BAKLA,2024,Summer,35.87
BAKLA,2026,Spring,62.31
BAKLA,2026,Summer,40.0
BEZELYE,2014,Spring,1.61
BEZELYE,2014,Summer,1.16
BEZELYE,2014,Fall,1.88
BEZELYE,2015,Spring,2.47
BEZELYE,2015,Summer,1.6
BEZELYE,2016,Spring,2.1
BEZELYE,2016,Summer,1.2
BEZELYE,2017,Spring,3.28
BEZELYE,2017,Summer,1.63
BEZELYE,2018,Winter,2.79
BEZELYE,2018,Spring,1.86
BEZELYE,2018,Summer,2.05
BEZELYE,2019,Spring,4.73
BEZELYE,2019,Summer,3.39
BEZELYE,2020,Spring,2.75
BEZELYE,2020,Summer,3.22
BEZELYE,2021,Spring,4.21
BEZELYE,2021,Summer,2.74
BEZELYE,2022,Spring,11.09
BEZELYE,2022,Summer,8.06
BEZELYE,2023,Winter,12.63
BEZELYE,2023,Spring,15.59
BEZELYE,2023,Summer,15.12
BEZELYE,2023,Fall,12.91
BEZELYE,2024,Spring,24.61
BEZELYE,2024,Summer,22.9
BEZELYE,2025,Spring,43.91
BEZELYE,2025,Summer,20.39
BEZELYE,2026,Spring,60.69
BEZELYE,2026,Summer,42.5
BIBER SIVRI,2014,Winter,2.13
BIBER SIVRI,2014,Spring,1.81
BIBER SIVRI,2014,Summer,1.13
BIBER SIVRI,2014,Fall,1.34
BIBER SIVRI,2015,Winter,2.33
BIBER SIVRI,2015,Spring,2.68
BIBER SIVRI,2015,Summer,1.12
BIBER SIVRI,2015,Fall,1.4
BIBER SIVRI,2016,Winter,2.61
BIBER SIVRI,2016,Spring,2.09
BIBER SIVRI,2016,Summer,1.42
BIBER SIVRI,2016,Fall,1.79
BIBER SIVRI,2017,Winter,3.29
BIBER SIVRI,2017,Spring,3.45
BIBER SIVRI,2017,Summer,1.58
BIBER SIVRI,2017,Fall,2.23
BIBER SIVRI,2018,Winter,2.57
BIBER SIVRI,2018,Spring,2.16
BIBER SIVRI,2018,Summer,1.85
BIBER SIVRI,2018,Fall,2.67
BIBER SIVRI,2019,Winter,4.89
BIBER SIVRI,2019,Spring,5.6
BIBER SIVRI,2019,Summer,2.48
BIBER SIVRI,2019,Fall,2.35
BIBER SIVRI,2020,Winter,4.01
BIBER SIVRI,2020,Spring,4.75
BIBER SIVRI,2020,Summer,3.42
BIBER SIVRI,2020,Fall,4.06
BIBER SIVRI,2021,Winter,5.63
BIBER SIVRI,2021,Spring,5.87
BIBER SIVRI,2021,Summer,3.52
BIBER SIVRI,2021,Fall,4.73
BIBER SIVRI,2022,Winter,14.7
BIBER SIVRI,2022,Spring,15.08
BIBER SIVRI,2022,Summer,10.97
BIBER SIVRI,2022,Fall,17.68
BIBER SIVRI,2023,Winter,26.68
BIBER SIVRI,2023,Spring,23.24
BIBER SIVRI,2023,Summer,21.74
BIBER SIVRI,2023,Fall,23.72
BIBER SIVRI,2024,Winter,47.42
BIBER SIVRI,2024,Spring,29.8
BIBER SIVRI,2024,Summer,35.04
BIBER SIVRI,2024,Fall,42.69
BIBER SIVRI,2025,Winter,54.71
BIBER SIVRI,2025,Spring,71.51
BIBER SIVRI,2025,Summer,29.54
BIBER SIVRI,2025,Fall,32.08
BIBER SIVRI,2026,Winter,51.5
BIBER SIVRI,2026,Spring,86.3
BIBER SIVRI,2026,Summer,48.32
BROKOLI,2014,Winter,1.16
BROKOLI,2014,Spring,2.05
BROKOLI,2014,Summer,1.79
BROKOLI,2014,Fall,1.66
BROKOLI,2015,Winter,1.69
