product_name,province,district,season,year,predicted_yield_per_decare_kg
BAKLA,İzmir,Bayındır,Fall,2026,507.03
BAKLA,İzmir,Bayındır,Spring,2026,507.03
BAKLA,İzmir,Bayındır,Summer,2026,507.03
BAKLA,İzmir,Bayındır,Winter,2026,507.03
BEZELYE,İzmir,Bayındır,Fall,2026,1649.57
BEZELYE,İzmir,Bayındır,Spring,2026,1649.57
BEZELYE,İzmir,Bayındır,Summer,2026,1649.57
BEZELYE,İzmir,Bayındır,Winter,2026,1649.57
BIBER SIVRI,İzmir,Bayındır,Fall,2026,3564.06
BIBER SIVRI,İzmir,Bayındır,Spring,2026,3564.06
BIBER SIVRI,İzmir,Bayındır,Summer,2026,3564.06
BIBER SIVRI,İzmir,Bayındır,Winter,2026,3564.06
BROKOLI,İzmir,Bayındır,Fall,2026,2285.71
BROKOLI,İzmir,Bayındır,Spring,2026,2285.71
BROKOLI,İzmir,Bayındır,Summer,2026,2285.71
BROKOLI,İzmir,Bayındır,Winter,2026,2285.71
DOMATES SALKIM,İzmir,Bayındır,Fall,2026,4896.39
DOMATES SALKIM,İzmir,Bayındır,Spring,2026,4896.39
DOMATES SALKIM,İzmir,Bayındır,Summer,2026,4896.39
DOMATES SALKIM,İzmir,Bayındır,Winter,2026,4896.39
ISPANAK,İzmir,Bayındır,Fall,2026,1320.45
ISPANAK,İzmir,Bayındır,Spring,2026,1320.45
ISPANAK,İzmir,Bayındır,Summer,2026,1320.45
ISPANAK,İzmir,Bayındır,Winter,2026,1320.45
KABAK TAZE,İzmir,Bayındır,Fall,2026,1930.08
KABAK TAZE,İzmir,Bayındır,Spring,2026,1930.08
KABAK TAZE,İzmir,Bayındır,Summer,2026,1930.08
KABAK TAZE,İzmir,Bayındır,Winter,2026,1930.08
KARNABAHAR,İzmir,Bayındır,Fall,2026,1588.83
KARNABAHAR,İzmir,Bayındır,Spring,2026,1588.83
KARNABAHAR,İzmir,Bayındır,Summer,2026,1588.83
KARNABAHAR,İzmir,Bayındır,Winter,2026,1588.83
KARPUZ,İzmir,Bayındır,Fall,2026,4340.13
KARPUZ,İzmir,Bayındır,Spring,2026,4340.13
KARPUZ,İzmir,Bayındır,Summer,2026,4340.13
KARPUZ,İzmir,Bayındır,Winter,2026,4340.13
LAHANA BEYAZ,İzmir,Bayındır,Fall,2026,1716.85
LAHANA BEYAZ,İzmir,Bayındır,Spring,2026,1716.85
LAHANA BEYAZ,İzmir,Bayındır,Summer,2026,1716.85
LAHANA BEYAZ,İzmir,Bayındır,Winter,2026,1716.85
LAHANA KIRMIZI,İzmir,Bayındır,Fall,2026,3781.67
LAHANA KIRMIZI,İzmir,Bayındır,Spring,2026,3781.67
LAHANA KIRMIZI,İzmir,Bayındır,Summer,2026,3781.67
LAHANA KIRMIZI,İzmir,Bayındır,Winter,2026,3781.67
MARUL,İzmir,Bayındır,Fall,2026,2413.96
MARUL,İzmir,Bayındır,Spring,2026,2413.96
MARUL,İzmir,Bayındır,Summer,2026,2413.96
MARUL,İzmir,Bayındır,Winter,2026,2413.96
PATLICAN UZUN,İzmir,Bayındır,Fall,2026,4223.98
PATLICAN UZUN,İzmir,Bayındır,Spring,2026,4223.98
PATLICAN UZUN,İzmir,Bayındır,Summer,2026,4223.98
PATLICAN UZUN,İzmir,Bayındır,Winter,2026,4223.98
PIRASA,İzmir,Bayındır,Fall,2026,4509.7
PIRASA,İzmir,Bayındır,Spring,2026,4509.7
PIRASA,İzmir,Bayındır,Summer,2026,4509.7
PIRASA,İzmir,Bayındır,Winter,2026,4509.7
SALATALIK SILOR,İzmir,Bayındır,Fall,2026,3251.2
SALATALIK SILOR,İzmir,Bayındır,Spring,2026,3251.2
SALATALIK SILOR,İzmir,Bayındır,Summer,2026,3251.2
SALATALIK SILOR,İzmir,Bayındır,Winter,2026,3251.2
BAKLA,İzmir,Bergama,Fall,2026,796.22
BAKLA,İzmir,Bergama,Spring,2026,796.22
BAKLA,İzmir,Bergama,Summer,2026,796.22
BAKLA,İzmir,Bergama,Winter,2026,796.22
BEZELYE,İzmir,Bergama,Fall,2026,678.71
BEZELYE,İzmir,Bergama,Spring,2026,678.71
BEZELYE,İzmir,Bergama,Summer,2026,678.71
BEZELYE,İzmir,Bergama,Winter,2026,678.71
BIBER SIVRI,İzmir,Bergama,Fall,2026,1000.15
BIBER SIVRI,İzmir,Bergama,Spring,2026,1000.15
BIBER SIVRI,İzmir,Bergama,Summer,2026,1000.15
BIBER SIVRI,İzmir,Bergama,Winter,2026,1000.15
BROKOLI,İzmir,Bergama,Fall,2026,2500.85
BROKOLI,İzmir,Bergama,Spring,2026,2500.85
BROKOLI,İzmir,Bergama,Summer,2026,2500.85
BROKOLI,İzmir,Bergama,Winter,2026,2500.85
DOMATES SALKIM,İzmir,Bergama,Fall,2026,13124.88
DOMATES SALKIM,İzmir,Bergama,Spring,2026,13124.88
DOMATES SALKIM,İzmir,Bergama,Summer,2026,13124.88
DOMATES SALKIM,İzmir,Bergama,Winter,2026,13124.88
ISPANAK,İzmir,Bergama,Fall,2026,703.04
ISPANAK,İzmir,Bergama,Spring,2026,703.04
ISPANAK,İzmir,Bergama,Summer,2026,703.04
ISPANAK,İzmir,Bergama,Winter,2026,703.04
KABAK TAZE,İzmir,Bergama,Fall,2026,1801.81
KABAK TAZE,İzmir,Bergama,Spring,2026,1801.81
KABAK TAZE,İzmir,Bergama,Summer,2026,1801.81
KABAK TAZE,İzmir,Bergama,Winter,2026,1801.81
KARNABAHAR,İzmir,Bergama,Fall,2026,1624.5
KARNABAHAR,İzmir,Bergama,Spring,2026,1624.5
KARNABAHAR,İzmir,Bergama,Summer,2026,1624.5
KARNABAHAR,İzmir,Bergama,Winter,2026,1624.5
KARPUZ,İzmir,Bergama,Fall,2026,2204.79
KARPUZ,İzmir,Bergama,Spring,2026,2204.79
KARPUZ,İzmir,Bergama,Summer,2026,2204.79
KARPUZ,İzmir,Bergama,Winter,2026,2204.79
LAHANA BEYAZ,İzmir,Bergama,Fall,2026,3007.81
LAHANA BEYAZ,İzmir,Bergama,Spring,2026,3007.81
LAHANA BEYAZ,İzmir,Bergama,Summer,2026,3007.81
LAHANA BEYAZ,İzmir,Bergama,Winter,2026,3007.81
LAHANA KIRMIZI,İzmir,Bergama,Fall,2026,1876.47
LAHANA KIRMIZI,İzmir,Bergama,Spring,2026,1876.47
LAHANA KIRMIZI,İzmir,Bergama,Summer,2026,1876.47
LAHANA KIRMIZI,İzmir,Bergama,Winter,2026,1876.47
MARUL,İzmir,Bergama,Fall,2026,2065.79
MARUL,İzmir,Bergama,Spring,2026,2065.79
MARUL,İzmir,Bergama,Summer,2026,2065.79
MARUL,İzmir,Bergama,Winter,2026,2065.79
PATLICAN UZUN,İzmir,Bergama,Fall,2026,1807.9
PATLICAN UZUN,İzmir,Bergama,Spring,2026,1807.9
PATLICAN UZUN,İzmir,Bergama,Summer,2026,1807.9
PATLICAN UZUN,İzmir,Bergama,Winter,2026,1807.9
PIRASA,İzmir,Bergama,Fall,2026,2544.94
PIRASA,İzmir,Bergama,Spring,2026,2544.94
PIRASA,İzmir,Bergama,Summer,2026,2544.94
PIRASA,İzmir,Bergama,Winter,2026,2544.94
SALATALIK SILOR,İzmir,Bergama,Fall,2026,9028.41
SALATALIK SILOR,İzmir,Bergama,Spring,2026,9028.41
SALATALIK SILOR,İzmir,Bergama,Summer,2026,9028.41
SALATALIK SILOR,İzmir,Bergama,Winter,2026,9028.41
SOGAN KURU,İzmir,Bergama,Fall,2026,1065.07
SOGAN KURU,İzmir,Bergama,Spring,2026,1065.07
SOGAN KURU,İzmir,Bergama,Summer,2026,1065.07
SOGAN KURU,İzmir,Bergama,Winter,2026,1065.07
BAKLA,İzmir,Menderes,Fall,2026,491.4
BAKLA,İzmir,Menderes,Spring,2026,491.4
BAKLA,İzmir,Menderes,Summer,2026,491.4
BAKLA,İzmir,Menderes,Winter,2026,491.4
BIBER SIVRI,İzmir,Menderes,Fall,2026,2693.03
BIBER SIVRI,İzmir,Menderes,Spring,2026,2693.03
BIBER SIVRI,İzmir,Menderes,Summer,2026,2693.03
BIBER SIVRI,İzmir,Menderes,Winter,2026,2693.03
BROKOLI,İzmir,Menderes,Fall,2026,1900.73
BROKOLI,İzmir,Menderes,Spring,2026,1900.73
BROKOLI,İzmir,Menderes,Summer,2026,1900.73
BROKOLI,İzmir,Menderes,Winter,2026,1900.73
DOMATES SALKIM,İzmir,Menderes,Fall,2026,3721.25
DOMATES SALKIM,İzmir,Menderes,Spring,2026,3721.25
DOMATES SALKIM,İzmir,Menderes,Summer,2026,3721.25
DOMATES SALKIM,İzmir,Menderes,Winter,2026,3721.25
ISPANAK,İzmir,Menderes,Fall,2026,887.4
ISPANAK,İzmir,Menderes,Spring,2026,887.4
ISPANAK,İzmir,Menderes,Summer,2026,887.4
ISPANAK,İzmir,Menderes,Winter,2026,887.4
KABAK TAZE,İzmir,Menderes,Fall,2026,2007.89
KABAK TAZE,İzmir,Menderes,Spring,2026,2007.89
KABAK TAZE,İzmir,Menderes,Summer,2026,2007.89
KABAK TAZE,İzmir,Menderes,Winter,2026,2007.89
KARNABAHAR,İzmir,Menderes,Fall,2026,2030.0
KARNABAHAR,İzmir,Menderes,Spring,2026,2030.0
KARNABAHAR,İzmir,Menderes,Summer,2026,2030.0
KARNABAHAR,İzmir,Menderes,Winter,2026,2030.0
KARPUZ,İzmir,Menderes,Fall,2026,3999.28
KARPUZ,İzmir,Menderes,Spring,2026,3999.28
KARPUZ,İzmir,Menderes,Summer,2026,3999.28
KARPUZ,İzmir,Menderes,Winter,2026,3999.28
LAHANA BEYAZ,İzmir,Menderes,Fall,2026,3510.5
LAHANA BEYAZ,İzmir,Menderes,Spring,2026,3510.5
LAHANA BEYAZ,İzmir,Menderes,Summer,2026,3510.5
LAHANA BEYAZ,İzmir,Menderes,Winter,2026,3510.5
LAHANA KIRMIZI,İzmir,Menderes,Fall,2026,2000.0
