year,season,tarim_ufe_index,agri_annual_inflation
2020,Winter,93.32499999999999,
2020,Spring,97.42666666666666,
2020,Summer,96.95333333333333,
2020,Fall,103.06,
2021,Winter,113.79333333333334,21.93
2021,Spring,121.37333333333333,24.58
2021,Summer,127.33333333333333,31.33
2021,Fall,137.99,33.89
2022,Winter,185.89666666666668,63.36
2022,Spring,262.53,116.3
2022,Summer,285.9433333333333,124.56
2022,Fall,307.0366666666667,122.51
2023,Winter,362.3066666666667,94.9
2023,Spring,405.1566666666667,54.33
2023,Summer,462.18,61.63
2023,Fall,508.9166666666667,65.75
2024,Winter,575.62,58.88
2024,Spring,653.46,61.29
2024,Summer,656.8266666666667,42.11
2024,Fall,701.6366666666667,37.87
2025,Winter,771.3866666666667,34.01
2025,Spring,845.0066666666667,29.31
2025,Summer,955.3133333333334,45.44
2025,Fall,988.2866666666667,40.85
2026,Winter,1079.4166666666667,39.93
2026,Spring,1187.7333333333333,40.56
2026,Summer,1099.96,15.14
