district,product_name,2026 Üretim Miktari,year
Bayındır,BAKLA,11.0,2026
Bayındır,BEZELYE,486.0,2026
Bayındır,BIBER SIVRI,4867.0,2026
Bayındır,BROKOLI,4919.990234375,2026
Bayındır,DOMATES SALKIM,5107.0,2026
Bayındır,SALATALIK SILOR,436.0,2026
Bayındır,ISPANAK,124.0,2026
Bayındır,KABAK TAZE,330.0,2026
Bayındır,KARNABAHAR,52816.91015625,2026
Bayındır,KARPUZ,10868.009765625,2026
Bayındır,LAHANA BEYAZ,6807.990234375,2026
Bayındır,LAHANA KIRMIZI,1411.0,2026
Bayındır,MARUL,17015.9609375,2026
Bayındır,PATLICAN UZUN,1408.0,2026
Bayındır,PIRASA,1556.0,2026
Bayındır,SOGAN KURU,0.0,2026
Bergama,BAKLA,113.0,2026
Bergama,BEZELYE,60.0,2026
Bergama,BIBER SIVRI,779.0,2026
Bergama,BROKOLI,5749.990234375,2026
Bergama,DOMATES SALKIM,90042.953125,2026
Bergama,SALATALIK SILOR,349.0,2026
Bergama,ISPANAK,503.0,2026
Bergama,KABAK TAZE,304.0,2026
Bergama,KARNABAHAR,1429.0,2026
Bergama,KARPUZ,489.0,2026
Bergama,LAHANA BEYAZ,556.0,2026
Bergama,LAHANA KIRMIZI,233.0,2026
Bergama,MARUL,87.0,2026
Bergama,PATLICAN UZUN,703.0,2026
Bergama,PIRASA,912.0,2026
Bergama,SOGAN KURU,57.0,2026
Menderes,BAKLA,12.0,2026
Menderes,BEZELYE,0.0,2026
Menderes,BIBER SIVRI,1944.010009765625,2026
Menderes,BROKOLI,1710.0,2026
Menderes,DOMATES SALKIM,2457.010009765625,2026
Menderes,SALATALIK SILOR,88439.15625,2026
Menderes,ISPANAK,223.0,2026
Menderes,KABAK TAZE,660.0,2026
Menderes,KARNABAHAR,209.0,2026
Menderes,KARPUZ,6000.0,2026
Menderes,LAHANA BEYAZ,388.0,2026
Menderes,LAHANA KIRMIZI,300.0,2026
Menderes,MARUL,323.010009765625,2026
Menderes,PATLICAN UZUN,8499.990234375,2026
Menderes,PIRASA,239.0,2026
Menderes,SOGAN KURU,0.0,2026
Tire,BAKLA,13.0,2026
Tire,BEZELYE,2775.0,2026
Tire,BIBER SIVRI,569.0,2026
Tire,BROKOLI,16124.9599609375,2026
Tire,DOMATES SALKIM,10731.98046875,2026
Tire,SALATALIK SILOR,9479.9697265625,2026
Tire,ISPANAK,150.0,2026
Tire,KABAK TAZE,109.0,2026
Tire,KARNABAHAR,25035.939453125,2026
Tire,KARPUZ,9450.009765625,2026
Tire,LAHANA BEYAZ,7053.990234375,2026
Tire,LAHANA KIRMIZI,0.0,2026
Tire,MARUL,20219.939453125,2026
Tire,PATLICAN UZUN,504.0,2026
Tire,PIRASA,1600.0,2026
Tire,SOGAN KURU,0.0,2026
Torbalı,BAKLA,176.0,2026
Torbalı,BEZELYE,10124.98046875,2026
Torbalı,BIBER SIVRI,5699.990234375,2026
Torbalı,BROKOLI,45624.921875,2026
Torbalı,DOMATES SALKIM,39596.921875,2026
Torbalı,SALATALIK SILOR,894.0,2026
Torbalı,ISPANAK,938.0,2026
Torbalı,KABAK TAZE,376.0,2026
Torbalı,KARNABAHAR,21990.9609375,2026
Torbalı,KARPUZ,11474.98046875,2026
Torbalı,LAHANA BEYAZ,8162.0,2026
Torbalı,LAHANA KIRMIZI,7874.97998046875,2026
Torbalı,MARUL,5440.990234375,2026
Torbalı,PATLICAN UZUN,616.0,2026
Torbalı,PIRASA,27199.990234375,2026
Torbalı,SOGAN KURU,0.0,2026
Ödemiş,BAKLA,375.0,2026
Ödemiş,BEZELYE,750.010009765625,2026
Ödemiş,BIBER SIVRI,3500.0,2026
Ödemiş,BROKOLI,12499.98046875,2026
Ödemiş,DOMATES SALKIM,15010.0400390625,2026
Ödemiş,SALATALIK SILOR,4510.009765625,2026
Ödemiş,ISPANAK,300.0,2026
Ödemiş,KABAK TAZE,175.0,2026
Ödemiş,KARNABAHAR,4172.990234375,2026
Ödemiş,KARPUZ,12500.009765625,2026
Ödemiş,LAHANA BEYAZ,2645.010009765625,2026
Ödemiş,LAHANA KIRMIZI,120.0,2026
Ödemiş,MARUL,4040.0,2026
Ödemiş,PATLICAN UZUN,2000.010009765625,2026
Ödemiş,PIRASA,400.0,2026
Ödemiş,SOGAN KURU,60.0,2026
