,URUN_ADI,ORTALAMA_FIYAT,YIL,SEZON
0,DOMATES  SALKIM,2.75,2014,Winter
1,SALATALIK  SİLOR,2.0,2014,Winter
2,SALATALIK  SİLOR,2.0,2014,Winter
3,DOMATES  SALKIM,3.0,2014,Winter
4,DOMATES  SALKIM,3.0,2014,Winter
5,SALATALIK  SİLOR,2.25,2014,Winter
6,DOMATES  SALKIM,2.75,2014,Winter
7,SALATALIK  SİLOR,2.1,2014,Winter
8,DOMATES  SALKIM,2.75,2014,Winter
9,SALATALIK  SİLOR,2.05,2014,Winter
10,DOMATES  SALKIM,2.75,2014,Winter
11,SALATALIK  SİLOR,2.0,2014,Winter
12,DOMATES  SALKIM,2.55,2014,Winter
13,SALATALIK  SİLOR,2.25,2014,Winter
14,DOMATES  SALKIM,2.55,2014,Winter
15,SALATALIK  SİLOR,2.5,2014,Winter
16,DOMATES  SALKIM,2.5,2014,Winter
17,SALATALIK  SİLOR,2.4,2014,Winter
18,DOMATES  SALKIM,2.5,2014,Winter
19,SALATALIK  SİLOR,2.25,2014,Winter
20,DOMATES  SALKIM,2.4,2014,Winter
21,SALATALIK  SİLOR,2.5,2014,Winter
22,DOMATES  SALKIM,2.65,2014,Winter
23,SALATALIK  SİLOR,2.5,2014,Winter
24,DOMATES  SALKIM,2.5,2014,Winter
25,SALATALIK  SİLOR,2.5,2014,Winter
26,DOMATES  SALKIM,2.5,2014,Winter
27,SALATALIK  SİLOR,2.5,2014,Winter
28,DOMATES  SALKIM,2.5,2014,Winter
29,SALATALIK  SİLOR,2.4,2014,Winter
30,DOMATES  SALKIM,2.25,2014,Winter
31,SALATALIK  SİLOR,2.5,2014,Winter
32,DOMATES  SALKIM,2.25,2014,Winter
33,SALATALIK  SİLOR,2.5,2014,Winter
34,DOMATES  SALKIM,2.25,2014,Winter
35,SALATALIK  SİLOR,2.5,2014,Winter
36,DOMATES  SALKIM,2.4,2014,Winter
37,SALATALIK  SİLOR,2.5,2014,Winter
38,DOMATES  SALKIM,2.4,2014,Winter
39,SALATALIK  SİLOR,2.5,2014,Winter
40,DOMATES  SALKIM,2.4,2014,Winter
41,SALATALIK  SİLOR,2.65,2014,Winter
42,DOMATES  SALKIM,2.4,2014,Winter
43,SALATALIK  SİLOR,2.75,2014,Winter
44,DOMATES  SALKIM,2.25,2014,Winter
45,SALATALIK  SİLOR,3.25,2014,Winter
46,DOMATES  SALKIM,2.25,2014,Winter
47,SALATALIK  SİLOR,3.25,2014,Winter
48,DOMATES  SALKIM,2.15,2014,Winter
49,SALATALIK  SİLOR,3.25,2014,Winter
50,DOMATES  SALKIM,2.15,2014,Winter
51,SALATALIK  SİLOR,3.25,2014,Winter
52,DOMATES  SALKIM,2.0,2014,Winter
53,SALATALIK  SİLOR,3.75,2014,Winter
54,SALATALIK  SİLOR,3.75,2014,Winter
55,DOMATES  SALKIM,2.25,2014,Winter
56,SALATALIK  SİLOR,4.0,2014,Winter
57,DOMATES  SALKIM,2.25,2014,Winter
58,DOMATES  SALKIM,2.25,2014,Winter
59,SALATALIK  SİLOR,4.0,2014,Winter
