Year,Season,Diesel_Price
2014,Fall,4.24
2014,Spring,4.58
2014,Summer,4.38
2014,Winter,4.33
2015,Fall,3.84
2015,Spring,3.93
2015,Summer,3.9
2015,Winter,3.66
2016,Fall,4.13
2016,Spring,3.63
2016,Summer,3.79
2016,Winter,3.78
2017,Fall,4.83
2017,Spring,4.55
2017,Summer,4.48
2017,Winter,4.81
2018,Fall,6.34
2018,Spring,5.46
2018,Summer,5.81
2018,Winter,5.4
2019,Fall,6.53
2019,Spring,6.44
2019,Summer,6.38
2019,Winter,6.22
2020,Fall,6.2
2020,Spring,5.51
2020,Summer,5.98
2020,Winter,6.61
2021,Fall,7.99
2021,Spring,6.69
2021,Summer,7.34
2021,Winter,8.1
2022,Fall,25.49
2022,Spring,21.62
2022,Summer,26.18
2022,Winter,17.3
2023,Fall,39.39
2023,Spring,20.55
2023,Summer,30.3
2023,Winter,27.43
2024,Fall,43.82
2024,Spring,42.39
2024,Summer,44.12
2024,Winter,42.89
2025,Fall,56.39
2025,Spring,46.68
2025,Summer,52.69
2025,Winter,50.28
2026,Spring,71.54
2026,Summer,66.72
2026,Winter,58.1
