Y?llar;%21 Amon;%26 CAN;Üre %45 Azot;DAP Gübrelerin;20.20.0güb
;Sülfat(;(ton;(ton;(ton/TL);(ton/TL)
;ton/TL);/TL);/TL);;
2002;178;194;261;389;279
2003;214;253;340;427;314
2004;295;301;381;550;394
2005;276;323;463;553;411
2006;283;328;512;608;439
2007;362;385;662;798;542
2008;620;561;836;1839;1221
2009;358;480;693;758;572
2010;382;483;694;1.011;679
2011;585;617;982;1.498;1.060
2012;641;761;1.178;1.465;1.054
2013;623;813;1.120;1.330;960
2014;620;879;1.159;1.568;1.062
2015;681;853;1.176;1.825;1.260
2016;644;789;1.035;1.471;1.062
2017;708;855;1.156;1.538;1.096
2018;1.011;977;1.664;2.383;1.587
2019;1.219;1.222;2.018;2.654;1.892
2020;1.700;1.380;3.600;4.000;2.800
2021 (1. Yar?);1.800;1.480;3.800;3.700;3.600
2021 (2. Yar?);9.796;11.200;12.178;14.600;8.320
2022-1;13.780;11.300;20.980;21.160;12.160
2023;7.780;9.170;14.514;20.022;13.742
2024;9.420;9.750;14.630;23.520;15.193
2025;11.300;12.150;20.200;26.400;17.100
