OrtalamaUcret,MAL_ADI,BIRIM,ASGARI_FIYAT,AZAMI_FIYAT,MalId,tarih,HAL_TURU,MalTipId,MAL_TIPI,Gorsel,TARIH,ORTALAMA_FIYAT
90.0,ANANAS,ADET,70,110,53,,1,3,İTHAL,8d021386-fa36-4850-bb28-bc0e6b7c7a56.jpg,2026-01-02,90.0
65.0,ARMUT  DEVECI,KG,40,90,199,,1,2,MEYVE,c4a67fa1-90e9-4455-9587-a8f07ac1483d.jpg,2026-01-02,65.0
70.0,ARMUT  DİĞER,KG,50,90,47,,1,2,MEYVE,02149ce9-f601-4043-b2da-ced1c674e516.jpg,2026-01-02,70.0
80.0,ARMUT  S.MARIA,KG,50,110,2,,1,2,MEYVE,5522646d-2ece-4abe-b528-38a9fefc8dea.jpg,2026-01-02,80.0
75.0,ARMUT AKÇA,KG,50,100,1461,,1,2,MEYVE,311c923c-b677-4ab1-aada-367e135195bf.jpg,2026-01-02,75.0
55.0,AVAKADO,ADET,40,70,52,,1,3,İTHAL,3dd663f5-15d9-461f-b7e0-a4a51ad10606.jpg,2026-01-02,55.0
160.0,AYVA,KG,130,190,1,,1,2,MEYVE,b1f678d0-4bfa-4bd5-acc5-268a99511a21.jpg,2026-01-02,160.0
50.0,BROKOLI,KG,40,60,58,,1,1,SEBZE,2c2e8a79-5358-4c4f-81d3-5deb861b73e9.jpg,2026-01-02,50.0
45.0,BİBER  DOLMA,KG,35,55,107,,1,1,SEBZE,fcda6250-7681-4fa9-91ab-b1dd47369ccf.jpg,2026-01-02,45.0
77.5,BİBER  KIL ACI,KG,65,90,148,,1,1,SEBZE,caaa92a9-b043-4558-b273-ede182151744.jpg,2026-01-02,77.5
27.5,BİBER  SİVRİ,KG,20,35,106,,1,1,SEBZE,9a3651fd-567a-4e68-b4e0-7e681562b1f8.jpg,2026-01-02,27.5
60.0,BİBER KIRMIZI,KG,45,75,142,,1,1,SEBZE,e57aa2f6-5f58-4e78-bf4c-46797317e932.jpg,2026-01-02,60.0
30.0,BİBER KÖY(MAZO),KG,20,40,1554,,1,1,SEBZE,91032f8b-25b9-49d2-8ceb-5e84a0d280de.jpg,2026-01-02,30.0
22.5,BİBER ÇARLİSTON,KG,15,30,138,,1,1,SEBZE,4847eb03-18ef-4d61-8de9-bf004fe54dac.jpg,2026-01-02,22.5
85.0,CENNET ELMASI,KG,50,120,61,,1,2,MEYVE,ee709a33-f4f3-4954-a560-0dc28f8a0501.jpg,2026-01-02,85.0
165.0,CILEK,KG,150,180,5,,1,2,MEYVE,695313ad-e713-45dc-85ba-2d4ce994fe3b.jpg,2026-01-02,165.0
80.0,CİBEZ,KG,70,90,184,,1,1,SEBZE,dd1ff234-e425-4f76-97af-ae57f267d576.jpeg,2026-01-02,80.0
7.5,DENIZ BÖRÜLCESİ,ADET,5,10,185,,1,1,SEBZE,90dcf9bf-7973-437f-835e-f655a101aba4.jpg,2026-01-02,7.5
60.0,DOMATES  BEEF,KG,50,70,229,,1,1,SEBZE,ab88cc05-1c29-444d-b64e-1d53bfb55ba0.webp,2026-01-02,60.0
42.5,DOMATES (KOKTEYL),KG,35,50,1567,,1,1,SEBZE,8d8c4718-889a-4591-8046-da962c27052e.webp,2026-01-02,42.5
55.0,DOMATES CHERRY,KG,45,65,222,,1,1,SEBZE,81a618a4-9149-4e76-808e-d23434139be8.jpg,2026-01-02,55.0
55.0,DOMATES PEMBE,KG,45,65,1529,,1,1,SEBZE,5623488e-b25a-49ff-a531-c8f08099ef91.jpg,2026-01-02,55.0
45.0,DOMATES SALKIM  (İYİ TARIM),KG,25,65,1526,,1,1,SEBZE,426ba5fe-7750-4b30-b5a1-06715e3ec918.jpg,2026-01-02,45.0
42.5,DOMATES SERA,KG,35,50,1596,,1,1,SEBZE,ResimYok.png,2026-01-02,42.5
57.5,ELMA  DİĞER,KG,40,75,3,,1,2,MEYVE,98bad31d-5a05-45a0-9ffa-41cebe0edcdf.jpg,2026-01-02,57.5
45.0,ELMA  GOLDEN,KG,30,60,46,,1,2,MEYVE,af52a0e1-0270-44f2-b3f7-1c849adf8788.jpg,2026-01-02,45.0
55.0,ELMA  STARKING,KG,40,70,7,,1,2,MEYVE,0e20ef9f-d7d2-4b47-9506-0196ab5eee0c.jpg,2026-01-02,55.0
70.0,ELMA GSMİT,KG,40,100,384,,1,2,MEYVE,72765e39-fed1-4a7c-ae68-c087b0af9d56.jpg,2026-01-02,70.0
110.0,ERİK  ANJELIKA,KG,100,120,43,,1,2,MEYVE,a60447ea-1185-4c8c-9601-2bf86b811749.jpg,2026-01-02,110.0
115.0,FASULYE   AYSE,KG,110,120,110,,1,1,SEBZE,6b21fa65-11e3-4580-9411-13c50e31ed26.jpg,2026-01-02,115.0
85.0,FASULYE   CALI,KG,80,90,111,,1,1,SEBZE,28bde523-3ecc-4064-9ba6-f4c834e428e9.jpg,2026-01-02,85.0
30.0,GREYFURT,KG,20,40,10,,1,2,MEYVE,b2932505-0e93-4749-9be9-0dbc6aad1373.jpg,2026-01-02,30.0
15.0,HAVUÇ,KG,10,20,113,,1,1,SEBZE,5ff82420-427d-44c1-8b29-fd872366cb56.jpg,2026-01-02,15.0
12.5,HAVUÇ(TAKOZ),KG,10,15,1530,,1,1,SEBZE,720e4c2a-928c-4fd9-bbe0-318a01682460.jpg,2026-01-02,12.5
75.0,HINDISTAN CEVIZI,ADET,50,100,55,,1,3,İTHAL,9e7785dc-4d4c-48ee-a0c9-fcaa799286ac.jpg,2026-01-02,75.0
20.0,ISPANAK,KG,15,25,114,,1,1,SEBZE,10e33205-f35d-4c44-a3dc-f2ecb2e9feb5.jpg,2026-01-02,20.0
25.0,KABAK  BAL,KG,20,30,116,,1,1,SEBZE,edcecaef-59c0-4e5e-bd21-b6bf9db34629.jpg,2026-01-02,25.0
35.0,KABAK TAZE,KG,25,45,115,,1,1,SEBZE,1213837f-95aa-4bb8-846d-8e29511c5859.jpg,2026-01-02,35.0
15.0,KARNABAHAR,KG,10,20,128,,1,1,SEBZE,aee5d8d4-3334-4422-b7b8-138cffe1a69a.jpg,2026-01-02,15.0
17.5,KARPUZ,KG,10,25,12,,1,1,SEBZE,fed021b1-9b28-4ce8-835c-534e4a989427.jpg,2026-01-02,17.5
12.5,KAVUN DİĞER,KG,5,20,11,,1,1,SEBZE,e8c60d17-9dc2-4812-9b56-07d769abfadb.jpg,2026-01-02,12.5
20.0,KEREVIZ,KG,15,25,117,,1,1,SEBZE,23f30ee5-7727-4313-bb41-e34fb12f8258.jpg,2026-01-02,20.0
175.0,KESTANE,KG,100,250,19,,1,2,MEYVE,04ebf704-9788-4fcc-9f04-e4ab3b17fbe3.jpg,2026-01-02,175.0
100.0,KIVI  ,KG,80,120,231,,1,2,MEYVE,1e3cc1f7-5711-42b2-8f02-c282797361d9.jpg,2026-01-02,100.0
12.5,LAHANA  BEYAZ,KG,10,15,145,,1,1,SEBZE,b12589db-34f2-4c83-8118-5901d91a1319.jpg,2026-01-02,12.5
15.0,LAHANA  KIRMIZI,KG,10,20,127,,1,1,SEBZE,f63614a4-aef2-4e3e-9ce7-ae736ba28b6e.jpg,2026-01-02,15.0
32.5,LİMON  YENİ (MAYER),KG,20,45,1402,,1,2,MEYVE,3b017691-4eb0-41f0-b9ab-f55c421763a3.jpg,2026-01-02,32.5
75.0,LİMON DİĞER ,KG,50,100,33,,1,2,MEYVE,2ab1ea18-4e04-4c09-984f-7e5c6fc6e50f.jpg,2026-01-02,75.0
50.0,LİMON LAMAS,KG,40,60,1532,,1,2,MEYVE,b676e0d2-514d-4008-a6af-6e7de77e015a.jpg,2026-01-02,50.0
21.5,MANDALİNA,KG,15,28,21,,1,2,MEYVE,df2b21ea-ccad-49f4-a42c-5c28fb866ced.png,2026-01-02,21.5
77.5,MANGO,ADET,70,85,194,,1,3,İTHAL,53f94af0-540c-4092-8d00-bb11347222af.webp,2026-01-02,77.5
90.0,MANTAR,KG,60,120,140,,1,1,SEBZE,9c6289a0-7e5c-434a-849a-62dba4e4ce00.jpg,2026-01-02,90.0
15.0,MARUL,ADET,10,20,118,,1,1,SEBZE,dd8f959e-fc04-4dc8-ace8-8314c3fd7d5a.jpg,2026-01-02,15.0
