TARIH;MAL_TURU;MAL_ADI;BIRIM;ASGARI_UCRET;AZAMI_UCRET;ORTALAMA_UCRET
2021-01-02;SEBZE;ISPANAK;KG;1;2.70;1.85
2021-01-02;SEBZE;KABAK TAZE;KG;1.50;4.20;2.85
2021-01-02;SEBZE;KABAK  BAL;KG;1.30;3;2.15
2021-01-02;SEBZE;KEREVIZ;KG;1.30;3.30;2.30
2021-01-02;SEBZE;MARUL;ADET;0.90;3;1.95
2021-01-02;SEBZE;PATLICAN  UZUN;KG;3;5.50;4.25
2021-01-02;SEBZE;PATLICAN TOPAN;KG;3;6.50;4.75
2021-01-02;SEBZE;PATATES;KG;0.50;1.50;1
2021-01-02;SEBZE;PANCAR;KG;0.90;2;1.45
2021-01-02;SEBZE;SOGAN   TAZE;KG;3;7;5
2021-01-02;SEBZE;SOGAN   KURU;KG;0.60;1.70;1.15
2021-01-02;SEBZE;LAHANA  KIRMIZI;KG;1.20;2.70;1.95
2021-01-02;SEBZE;KARNABAHAR;KG;1;3;2
2021-01-02;SEBZE;TURP  KIRMIZI;KG;0.80;2;1.40
2021-01-02;MEYVE;DARI(ADET);ADET;0.40;1;0.70
2021-01-02;SEBZE;YAPRAK  SALAMURA;KG;7;10;8.50
2021-01-02;SEBZE;SARIMSAK  KURU;KG;10;24;17
2021-01-02;SEBZE;PATATES  CALMA;KG;0.70;1.90;1.30
2021-01-02;SEBZE;BIBER  TATLI(ÇARLİSTON);KG;2;5;3.50
2021-01-02;SEBZE;MARUL AYSBERG;ADET;1.50;3.80;2.65
2021-01-02;SEBZE;MANTAR;KG;5;12;8.50
2021-01-02;SEBZE;SOGAN   KIRMIZI;KG;1.50;3.20;2.35
2021-01-02;SEBZE;BIBER KIRMIZI;KG;4.50;9;6.75
2021-01-02;SEBZE;LAHANA  BEYAZ;KG;0.80;1.70;1.25
2021-01-02;SEBZE;PIRASA;KG;1;3;2
2021-01-02;SEBZE;PAZI;ADET;0.80;2.30;1.55
2021-01-02;SEBZE;BIBER  KIL ACI;KG;4;9;6.50
2021-01-02;SEBZE;LAHANA  BURUKSEL;KG;5;9;7
2021-01-02;SEBZE;DOMATES  SERA;KG;1.50;3.75;2.63
2021-01-02;SEBZE;SALATALIK  KASA;KG;2;3.80;2.90
2021-01-02;SEBZE;DOMATES  SALKIM;KG;2;4;3
2021-01-02;SEBZE;MARUL KIVIRCIK;ADET;0.90;3;1.95
2021-01-02;SEBZE;ACUR;KG;1;2.50;1.75
2021-01-02;SEBZE;YERELMASI;KG;1.50;2.50;2
2021-01-02;SEBZE;DENIZ BÖRÜLCESİ;ADET;0.20;0.75;0.48
2021-01-02;MEYVE;ARMUT  DEVECI;KG;3;6;4.50
2021-01-02;SEBZE;MARUL LOLOROSSO;ADET;1;2.50;1.75
2021-01-02;SEBZE;DOMATES CHERRY;KG;3.50;7;5.25
2021-01-02;SEBZE;DOMATES  BEEF;KG;2;4.50;3.25
2021-01-02;MEYVE;KIVI  YERLI;KG;5;12;8.50
2021-01-02;İTHAL..;ELMA STARKING(İTHAL);KG;5;13;9
2021-01-02;SEBZE;SALATALIK  SİLOR;KG;3;6;4.50
2021-01-02;MEYVE;LIMON  YENI (MAYER);KG;1;2.80;1.90
2021-01-02;MEYVE;ELMA  ARJANTİN;KG;3;6;4.50
2021-01-02;İTHAL..;SARIMSAK  İTHAL;KG;15;25;20
2021-01-02;MEYVE;PORTAKAL WASHINGTON;KG;2;4.50;3.25
2021-01-02;MEYVE;ELMA MUHTELİF;KG;0.60;2.60;1.60
2021-01-02;SEBZE;MANTAR (PAKET 400GR);ADET;6;14;10
2021-01-02;SEBZE;DOMATES PEMBE;KG;4;8;6
2021-01-02;MEYVE;LIMON ENTER;KG;2.50;4.50;3.50
2021-01-02;SEBZE;DOMATES SALKIM(KUTU);KG;3;6.50;4.75
2021-01-02;MEYVE;AYVA;KG;3;6;4.50
2021-01-02;MEYVE;ARMUT  S.MARIA;KG;4;8;6
2021-01-02;MEYVE;CILEK;KG;10;16;13
2021-01-02;MEYVE;ELMA  AMASYA;KG;4;7;5.50
2021-01-02;MEYVE;ELMA  STARKING;KG;2;4.70;3.35
2021-01-02;MEYVE;GREYFURT;KG;1.50;4;2.75
2021-01-02;MEYVE;NAR;KG;2;5;3.50
2021-01-02;MEYVE;KESTANE;KG;14;27;20.50
2021-01-02;MEYVE;MANDALİNA;KG;1.70;3.80;2.75
2021-01-02;MEYVE;MUZ  YERLI;KG;3.50;8;5.75
2021-01-02;MEYVE;PORTAKAL  MUHT;KG;1.50;3;2.25
2021-01-02;İTHAL..;KIVI  İTHAL;KG;10;23;16.50
