|||Sütunlar||||||
Satırlar|||İzmir(Bayındır)-1178|İzmir(Bergama)-1181|İzmir(Menderes)-1826|İzmir(Tire)-1677|İzmir(Torbalı)-1682|İzmir(Ödemiş)-1563|
|||||||||
|||||||||
Sebzeler|Ekilen Alan ve 01.11.61.00.01. (Fasulye, Taze) - Dekar|2013|3000.0|3500.0|60.0|6500.0|5515.0|2501.0|
||2014|3000.0|3500.0|60.0|6000.0|5500.0|8002.0|
||2015|2600.0|3500.0|60.0|6100.0|5225.0|8002.0|
||2016|2600.0|3500.0|100.0|6300.0|4750.0|8202.0|
||2017|2600.0|3500.0|90.0|6000.0|5800.0|8202.0|
||2018|2600.0|3000.0|90.0|5000.0|10125.0|8351.0|
||2019|1770.0|3000.0|90.0|5000.0|14285.0|8352.0|
||2020|800.0|100.0|90.0|1275.0|12450.0|8400.0|
||2021|800.0|66.0|90.0|1198.0|11550.0|3000.0|
||2022|525.0|23.0|90.0|1623.0|10250.0|3500.0|
||2023|550.0|16.0|85.0|1300.0|8650.0|3500.0|
||2024|1300.0|195.0|80.0|1130.0|10780.0|2500.0|
||2025|1223.0|347.0|130.0|1300.0|11730.0|2500.0|
|Ekilen Alan ve 01.11.61.00.02. (Barbunya, Taze) - Dekar|2013|250.0|100.0||700.0||2000.0|
||2014|250.0|100.0||650.0||2500.0|
||2015|200.0|100.0||650.0||2500.0|
||2016|200.0|100.0||650.0||2500.0|
||2017|200.0|100.0||700.0||2500.0|
||2018|200.0|100.0||400.0||3950.0|
||2019|200.0|100.0||400.0||4000.0|
||2020|100.0|100.0||100.0||4000.0|
||2021|100.0|1.0||112.0||2500.0|
||2022|50.0|1.0||||3500.0|
||2023|40.0|2.0||||3500.0|
||2024|40.0|13.0||||3500.0|
||2025|25.0|51.0||||2500.0|
|Ekilen Alan ve 01.11.62.00.00. (Bezelye, Taze) - Dekar|2013|1200.0|350.0||1650.0|4065.0|1715.0|
||2014|1200.0|350.0||1500.0|4065.0|1715.0|
||2015|1300.0|350.0||1550.0|2440.0|1715.0|
||2016|1000.0|350.0||1600.0|2400.0|1715.0|
||2017|1000.0|350.0||1500.0|1650.0|2215.0|
||2018|1000.0|350.0||2000.0|1400.0|2000.0|
||2019|800.0|350.0||2000.0|1500.0|2000.0|
||2020|300.0|350.0||1130.0|6150.0|750.0|
||2021|650.0|39.0||1021.0|5500.0|900.0|
||2022|210.0|3.0||1369.0|5750.0|800.0|
||2023|400.0|84.0||1297.0|6575.0|2000.0|
||2024|300.0|150.0||1250.0|6550.0|1750.0|
