|||Sütunlar||||||
Satırlar|||İzmir(Bayındır)-1178|İzmir(Bergama)-1181|İzmir(Menderes)-1826|İzmir(Tire)-1677|İzmir(Torbalı)-1682|İzmir(Ödemiş)-1563|
|||||||||
|||||||||
Sebzeler|Ekilen Alan ve 01.13.21.00.00. (Karpuz) - Dekar|2014|4000.0|1400.0|4860.0|14000.0|4500.0|15000.0|
||2015|4000.0|1400.0|4860.0|13450.0|2240.0|15000.0|
||2016|4000.0|1400.0|4860.0|13000.0|1850.0|15000.0|
||2017|4000.0|1250.0|4660.0|13000.0|1160.0|15000.0|
||2018|4000.0|1250.0|4660.0|5000.0|1130.0|12000.0|
||2019|2200.0|1250.0|4660.0|4750.0|930.0|11000.0|
||2020|1450.0|1250.0|1200.0|850.0|1130.0|2000.0|
||2021|1408.0|214.0|1103.0|773.0|1250.0|2500.0|
||2022|1450.0|99.0|1103.0|1155.0|1200.0|5000.0|
||2023|1500.0|57.0|1103.0|1026.0|1250.0|2500.0|
||2024|1500.0|201.0|1103.0|1350.0|1685.0|2500.0|
||2025|2415.0|222.0|1500.0|2100.0|2550.0|2500.0|
|Ekilen Alan ve 01.13.31.00.03. (Biber (Sivri)) - Dekar|2014|2300.0|1500.0|1020.0|1400.0|1967.0|1500.0|
||2015|1800.0|1500.0|2014.0|1350.0|1667.0|1500.0|
||2016|1800.0|1500.0|2064.0|1350.0|1570.0|1500.0|
||2017|800.0|1500.0|2320.0|1200.0|1560.0|1500.0|
||2018|800.0|1500.0|2320.0|1000.0|1703.0|1750.0|
||2019|800.0|1500.0|2170.0|1000.0|1795.0|2000.0|
||2020|2300.0|1500.0|2170.0|315.0|1660.0|1500.0|
||2021|1900.0|108.0|2170.0|379.0|1758.0|500.0|
||2022|1515.0|127.0|2170.0||1781.0|500.0|
||2023|1450.0|194.0|1929.0||1460.0|1500.0|
||2024|1400.0|719.0|1361.0||1845.0|1500.0|
||2025|1521.0|779.0|810.0||1900.0|1000.0|
|Ekilen Alan ve 01.13.32.00.01. (Hıyar (Sofralık)) - Dekar|2014|5000.0|1404.0|6337.0|600.0|395.0|5070.0|
||2015|5000.0|1404.0|4691.0|600.0|513.0|5070.0|
||2016|3000.0|1404.0|4871.0|600.0|385.0|3070.0|
||2017|2000.0|1226.0|5039.0|600.0|505.0|3070.0|
||2018|1500.0|1026.0|5079.0|300.0|378.0|2080.0|
||2019|1000.0|1018.0|4930.0|300.0|285.0|2070.0|
||2020|145.0|1011.0|4930.0|120.0|250.0|1000.0|
||2021|100.0|99.0|4930.0|118.0|275.0|100.0|
